Órgão superior;Órgão subordinado;Unidade administrativa;Número do contrato;Número do ICJ;Número do processo;Enquadramento do Processo;Fornecedor;CNPJ/CPF;Objeto da contratação;Fundamento legal;Início da vigência;Fim da vigência;Valor do contrato;Saldo bruto do contrato;Saldo inativo;Situação;Número dos aditivos
MINISTÉRIO DE MINAS E ENERGIA;PETROBRAS;910816 - Petróleo Brasileiro S.A.;4511891171;;;CONVITE;PETROBRAS NETHERLANDS B.V.;EXTERNO;Manifold 05 para atendimento a Marlim;Convite, Dec 2745, 3.1, C - Mínimo de 3 fornecedores, do ramo pertinente ao objeto, cadastrados ou não.;24/06/2022;06/11/2022;US$ 25.178.677,31;US$ 0,00;US$ 25.178.677,31;Cancelado;
MINISTÉRIO DE MINAS E ENERGIA;PETROBRAS;910816 - Petróleo Brasileiro S.A.;4511930570;;;DISPENSA;PETROBRAS NETHERLANDS B.V.;EXTERNO;Importacao de Thrusters para o UMS OOS TIRADENTES que atuara no Campo deCaratinga;Dispensa,  Lei 13.303, Art. 29, Inciso XI - Contrat. entre empr. públ. ou socied. de econ. mista e respectivas subsid.;11/07/2022;15/08/2022;US$ 1.601.000,00;US$ 0,00;US$ 0,00;Concluído;
MINISTÉRIO DE MINAS E ENERGIA;PETROBRAS;910816 - Petróleo Brasileiro S.A.;4511932186;;;DISPENSA;PETROBRAS NETHERLANDS B.V.;EXTERNO;Importacao de Thrusters para o UMS OOS TIRADENTES que atuara no Campo deCaratinga;Dispensa,  Lei 13.303, Art. 29, Inciso XI - Contrat. entre empr. públ. ou socied. de econ. mista e respectivas subsid.;11/07/2022;31/07/2022;US$ 1.601.000,00;US$ 0,00;US$ 0,00;Concluído;
MINISTÉRIO DE MINAS E ENERGIA;PETROBRAS;910816 - Petróleo Brasileiro S.A.;4511993823;;;TEJ;PETROBRAS NETHERLANDS B.V.;EXTERNO;Termo de Encerramento de Pendencias (TEP), formalizando acordo paraindenizacao de flutuadores de propriedade da P N B V  apos incendio eressarcimento do pagamento de alugueis  Equipamentos admitidos a;TEP, Cód Civil Arts 884, 840 e 319-Evitar enriquecimento sem causa e Regularizar pagamento e quitação ou Extinguir/evitar litígios;11/04/2022;11/10/2022;US$ 376.469,92;US$ 0,00;US$ 0,00;Concluído;
MINISTÉRIO DE MINAS E ENERGIA;PETROBRAS;910816 - Petróleo Brasileiro S.A.;4512061680;;;CONVITE;PETROBRAS NETHERLANDS B.V.;EXTERNO;Manifold submarino;Convite, Dec 2745, 3.1, C - Mínimo de 3 fornecedores, do ramo pertinente ao objeto, cadastrados ou não.;09/09/2022;01/08/2023;EUR 25.178.677,31;EUR 21.074.552,91;EUR 0,00;Ativo;
MINISTÉRIO DE MINAS E ENERGIA;PETROBRAS;910816 - Petróleo Brasileiro S.A.;4512081754;;;INEXIGIBIL;ELSEVIER B.V.;EXTERNO;Publicacao do artigo cientifico  Episodic reactivation of carbonatefault zones with implications for permeability   An example fromProvence, Southeast France  de Doutorado;Inexigibilidade, Lei 13.303, Art. 30 Inciso II, F -  Contratação de treinamento e aperfeiçoamento de pessoal;07/09/2022;07/09/2022;US$ 3.490,00;US$ 0,00;US$ 0,00;Concluído;
MINISTÉRIO DE MINAS E ENERGIA;PETROBRAS;910816 - Petróleo Brasileiro S.A.;4512138515;;;INEXIGIBIL;PETROBRAS NETHERLANDS B.V.;EXTERNO;PARTES DO MANIFOLD SUBMARINO;Inexigibilidade, Dec 2745, 2.3, E - Situações atípicas de mercado em que a realização da licit.não atenda ao princípio economicidade;18/10/2022;01/08/2023;EUR 24.222.952,84;EUR 0,00;EUR 0,00;Concluído;
MINISTÉRIO DE MINAS E ENERGIA;PETROBRAS;910816 - Petróleo Brasileiro S.A.;4512151111;;;INEXIGIBIL;ELSEVIER B.V.;EXTERNO;Elsevier Invoice Number OAD0000214028Marine and Petroleum Geology Article Publishing ChargeCustos de publicacao de artigo  Geochemical characterization of naturalgases in the pre salt section of the S;Inexigibilidade, Lei 13.303, Art. 30 Inciso II, F -  Contratação de treinamento e aperfeiçoamento de pessoal;01/06/2022;31/12/2022;US$ 3.390,00;US$ 0,00;US$ 0,00;Concluído;
MINISTÉRIO DE MINAS E ENERGIA;PETROBRAS;910816 - Petróleo Brasileiro S.A.;4512207209;;;INAPLICAB;PETROBRAS NETHERLANDS B.V. - PNBV;EXTERNO;Pedido para Importacao de UMS Tiradentes;Inaplicabilidade, Lei 13.303, Art. 28,  § 3°, Inciso II  - Oportunidade de negócio;18/11/2022;30/11/2022;US$ 208.841.504,54;US$ 208.841.504,54;US$ 0,00;Ativo;
MINISTÉRIO DE MINAS E ENERGIA;PETROBRAS;910816 - Petróleo Brasileiro S.A.;4512396967;;;INEXIGIBIL;ELSEVIER B.V.;EXTERNO;Doutorado em Geologia estrutural;Inexigibilidade, Lei 13.303, Art. 30 Inciso II, F -  Contratação de treinamento e aperfeiçoamento de pessoal;19/01/2023;19/01/2023;US$ 2.870,00;US$ 0,00;US$ 0,00;Concluído;
